"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"36113","Warren, NY","2","Population (persons) 1/",63273,63406,63774,64323,64576,65206,65554,65740,65848,65694,65670,65733,65418,65085,64870,64411,64428,64428,64265
"36113","Warren, NY","3","Per capita personal income (dollars) 2/",27882,28073,28845,30079,32267,32762,34362,35343,37763,38930,40852,42137,43469,44370,45095,46817,48154,50611,52475
"36115","Washington, NY","2","Population (persons) 1/",60977,61142,61152,61621,62278,62468,62771,63054,63252,63077,63343,63074,62980,62749,62464,62225,61767,61489,61197
"36115","Washington, NY","3","Per capita personal income (dollars) 2/",22577,22690,22684,23543,25093,25880,26490,27440,29407,30211,31072,32716,33496,34119,35304,35859,36788,39189,40043
"36117","Wayne, NY","2","Population (persons) 1/",93791,93794,93735,94001,93860,93727,93595,93539,93739,93643,93752,93246,93035,92350,91806,91284,90754,90372,90064
"36117","Wayne, NY","3","Per capita personal income (dollars) 2/",25809,26049,26190,27384,28292,28980,30295,31883,33526,33737,35095,36467,37543,38514,39367,41181,42401,45153,46048
"36119","Westchester, NY","2","Population (persons) 1/",925511,931577,935219,935799,935457,933401,931426,933414,937449,944201,950631,956265,959729,964805,967407,969220,970556,969279,967612
"36119","Westchester, NY","3","Per capita personal income (dollars) 2/",57112,56684,55316,56504,61387,66134,73216,79308,80213,75153,76048,79996,87589,86434,90407,93666,96308,103169,108976
"36121","Wyoming, NY","2","Population (persons) 1/",43399,43061,43007,42955,42852,42780,42673,42515,42281,42236,42121,41839,41692,41353,41129,40922,40406,40283,40085
"36121","Wyoming, NY","3","Per capita personal income (dollars) 2/",20731,21456,22413,23600,25185,26291,26817,28328,30012,29121,31237,33030,33975,35133,36974,36488,36788,39139,39801
"36123","Yates, NY","2","Population (persons) 1/",24723,24725,24688,24898,25008,25129,25025,25234,25352,25303,25375,25449,25334,25207,25148,25080,25023,24952,24841
"36123","Yates, NY","3","Per capita personal income (dollars) 2/",21248,22471,22354,22675,25334,26146,27080,27619,28916,29549,31338,32683,33582,34445,35437,35309,36726,38824,39402
"Legend / Footnotes:"
"1/ Census Bureau midyear population estimates. Estimates for 2010-2018 reflect county population estimates available as of March 2019."
"2/ Per capita personal income was computed using Census Bureau midyear population estimates. Estimates for 2010-2018 reflect county population estimates available as of March 2019."
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget bulletin no. 18-04 issued September 14, 2018."
"Note-- All dollar estimates are in thousands of current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"Last updated: November 14, 2019-- new statistics for 2018; revised statistics for 1969-2017."
