GeoName,State,Description,Unit, Year 
Mitchell,TX,Per capita personal income (dollars),Dollars,"30,799"
Owsley,KY,Per capita personal income (dollars),Dollars,"30,801"
Putnam,FL,Per capita personal income (dollars),Dollars,"30,823"
Bulloch,GA,Per capita personal income (dollars),Dollars,"30,825"
Iron,UT,Per capita personal income (dollars),Dollars,"30,840"
Pushmataha,OK,Per capita personal income (dollars),Dollars,"30,841"
Estill,KY,Per capita personal income (dollars),Dollars,"30,858"
Wright,MO,Per capita personal income (dollars),Dollars,"30,860"
Grant,LA,Per capita personal income (dollars),Dollars,"30,862"
Scott,MS,Per capita personal income (dollars),Dollars,"30,866"
Cherokee,OK,Per capita personal income (dollars),Dollars,"30,907"
Poinsett,AR,Per capita personal income (dollars),Dollars,"30,921"
Chattahoochee,GA,Per capita personal income (dollars),Dollars,"30,926"
Wilcox,AL,Per capita personal income (dollars),Dollars,"30,929"
Atoka,OK,Per capita personal income (dollars),Dollars,"30,968"
St. Bernard,LA,Per capita personal income (dollars),Dollars,"30,974"
Prince Edward,VA,Per capita personal income (dollars),Dollars,"30,979"
Coffee,GA,Per capita personal income (dollars),Dollars,"30,988"
Navajo,AZ,Per capita personal income (dollars),Dollars,"31,008"
Sharp,AR,Per capita personal income (dollars),Dollars,"31,022"
Dickenson,VA,Per capita personal income (dollars),Dollars,"31,026"
Fentress,TN,Per capita personal income (dollars),Dollars,"31,029"
Tunica,MS,Per capita personal income (dollars),Dollars,"31,035"
Hampton,SC,Per capita personal income (dollars),Dollars,"31,054"
Tyler,TX,Per capita personal income (dollars),Dollars,"31,071"
Marshall,MS,Per capita personal income (dollars),Dollars,"31,072"
Baker,FL,Per capita personal income (dollars),Dollars,"31,076"
Gallatin,KY,Per capita personal income (dollars),Dollars,"31,085"
Cook,GA,Per capita personal income (dollars),Dollars,"31,086"
Cherokee,NC,Per capita personal income (dollars),Dollars,"31,101"
McCurtain,OK,Per capita personal income (dollars),Dollars,"31,105"
Powell,KY,Per capita personal income (dollars),Dollars,"31,108"
Lee,KY,Per capita personal income (dollars),Dollars,"31,147"
Somerset,MD,Per capita personal income (dollars),Dollars,"31,147"
Polk,GA,Per capita personal income (dollars),Dollars,"31,150"
Franklin,LA,Per capita personal income (dollars),Dollars,"31,196"
Carter,MO,Per capita personal income (dollars),Dollars,"31,202"
Crisp,GA,Per capita personal income (dollars),Dollars,"31,206"
Madison,LA,Per capita personal income (dollars),Dollars,"31,210"
Upshur,WV,Per capita personal income (dollars),Dollars,"31,213"
Pickens,AL,Per capita personal income (dollars),Dollars,"31,233"
Randolph,AL,Per capita personal income (dollars),Dollars,"31,242"
Sheridan,ND,Per capita personal income (dollars),Dollars,"31,244"
Jefferson,OK,Per capita personal income (dollars),Dollars,"31,246"
Conecuh,AL,Per capita personal income (dollars),Dollars,"31,267"
Dickens,TX,Per capita personal income (dollars),Dollars,"31,270"
Walthall,MS,Per capita personal income (dollars),Dollars,"31,271"
