GeoName,Description,Unit, Year 
"Sharp, AR",Per capita personal income (dollars),Dollars," 31,022 "
"Stone, AR",Per capita personal income (dollars),Dollars," 29,491 "
"Union, AR",Per capita personal income (dollars),Dollars," 43,507 "
"Van Buren, AR",Per capita personal income (dollars),Dollars," 30,051 "
"Washington, AR",Per capita personal income (dollars),Dollars," 39,283 "
"White, AR",Per capita personal income (dollars),Dollars," 34,232 "
"Woodruff, AR",Per capita personal income (dollars),Dollars," 35,322 "
"Yell, AR",Per capita personal income (dollars),Dollars," 32,100 "
California,Per capita personal income (dollars),Dollars," 60,156 "
"Alameda, CA",Per capita personal income (dollars),Dollars," 71,560 "
"Alpine, CA",Per capita personal income (dollars),Dollars," 68,492 "
"Amador, CA",Per capita personal income (dollars),Dollars," 43,405 "
"Butte, CA",Per capita personal income (dollars),Dollars," 42,653 "
"Calaveras, CA",Per capita personal income (dollars),Dollars," 47,177 "
"Colusa, CA",Per capita personal income (dollars),Dollars," 45,475 "
"Contra Costa, CA",Per capita personal income (dollars),Dollars," 76,886 "
"Del Norte, CA",Per capita personal income (dollars),Dollars," 36,172 "
"El Dorado, CA",Per capita personal income (dollars),Dollars," 64,519 "
"Fresno, CA",Per capita personal income (dollars),Dollars," 41,137 "
"Glenn, CA",Per capita personal income (dollars),Dollars," 44,935 "
"Humboldt, CA",Per capita personal income (dollars),Dollars," 46,493 "
"Imperial, CA",Per capita personal income (dollars),Dollars," 36,537 "
"Inyo, CA",Per capita personal income (dollars),Dollars," 59,340 "
"Kern, CA",Per capita personal income (dollars),Dollars," 38,467 "
"Kings, CA",Per capita personal income (dollars),Dollars," 34,323 "
"Lake, CA",Per capita personal income (dollars),Dollars," 41,460 "
"Lassen, CA",Per capita personal income (dollars),Dollars," 36,350 "
"Los Angeles, CA",Per capita personal income (dollars),Dollars," 59,058 "
"Madera, CA",Per capita personal income (dollars),Dollars," 38,062 "
"Marin, CA",Per capita personal income (dollars),Dollars," 124,731 "
"Mariposa, CA",Per capita personal income (dollars),Dollars," 50,703 "
"Mendocino, CA",Per capita personal income (dollars),Dollars," 47,611 "
"Merced, CA",Per capita personal income (dollars),Dollars," 38,037 "
"Modoc, CA",Per capita personal income (dollars),Dollars," 43,224 "
"Mono, CA",Per capita personal income (dollars),Dollars," 51,584 "
"Monterey, CA",Per capita personal income (dollars),Dollars," 53,989 "
"Napa, CA",Per capita personal income (dollars),Dollars," 69,791 "
"Nevada, CA",Per capita personal income (dollars),Dollars," 58,771 "
"Orange, CA",Per capita personal income (dollars),Dollars," 65,709 "
"Placer, CA",Per capita personal income (dollars),Dollars," 64,015 "
"Plumas, CA",Per capita personal income (dollars),Dollars," 50,905 "
"Riverside, CA",Per capita personal income (dollars),Dollars," 38,975 "
"Sacramento, CA",Per capita personal income (dollars),Dollars," 50,445 "
"San Benito, CA",Per capita personal income (dollars),Dollars," 50,955 "
"San Bernardino, CA",Per capita personal income (dollars),Dollars," 38,648 "
"San Diego, CA",Per capita personal income (dollars),Dollars," 58,097 "
"San Francisco, CA",Per capita personal income (dollars),Dollars," 121,778 "
"San Joaquin, CA",Per capita personal income (dollars),Dollars," 42,391 "
"San Luis Obispo, CA",Per capita personal income (dollars),Dollars," 55,635 "
"San Mateo, CA",Per capita personal income (dollars),Dollars," 117,389 "
"Santa Barbara, CA",Per capita personal income (dollars),Dollars," 59,633 "
"Santa Clara, CA",Per capita personal income (dollars),Dollars," 100,177 "
"Santa Cruz, CA",Per capita personal income (dollars),Dollars," 64,901 "
"Shasta, CA",Per capita personal income (dollars),Dollars," 44,480 "
"Sierra, CA",Per capita personal income (dollars),Dollars," 44,508 "
"Siskiyou, CA",Per capita personal income (dollars),Dollars," 43,652 "
"Solano, CA",Per capita personal income (dollars),Dollars," 48,364 "
"Sonoma, CA",Per capita personal income (dollars),Dollars," 60,170 "
"Stanislaus, CA",Per capita personal income (dollars),Dollars," 42,354 "
"Sutter, CA",Per capita personal income (dollars),Dollars," 42,752 "
"Tehama, CA",Per capita personal income (dollars),Dollars," 40,374 "
"Trinity, CA",Per capita personal income (dollars),Dollars," 37,842 "
"Tulare, CA",Per capita personal income (dollars),Dollars," 39,018 "
"Tuolumne, CA",Per capita personal income (dollars),Dollars," 46,017 "
"Ventura, CA",Per capita personal income (dollars),Dollars," 58,761 "
"Yolo, CA",Per capita personal income (dollars),Dollars," 52,207 "
"Yuba, CA",Per capita personal income (dollars),Dollars," 39,409 "
Colorado,Per capita personal income (dollars),Dollars," 55,335 "
"Adams, CO*",Per capita personal income (dollars),Dollars," 41,170 "
"Alamosa, CO",Per capita personal income (dollars),Dollars," 35,437 "
"Arapahoe, CO",Per capita personal income (dollars),Dollars," 56,789 "
"Archuleta, CO",Per capita personal income (dollars),Dollars," 40,753 "
"Baca, CO",Per capita personal income (dollars),Dollars," 41,045 "
"Bent, CO",Per capita personal income (dollars),Dollars," 26,363 "
"Boulder, CO*",Per capita personal income (dollars),Dollars," 69,298 "
"Broomfield, CO*",Per capita personal income (dollars),Dollars," 63,170 "
"Chaffee, CO",Per capita personal income (dollars),Dollars," 44,340 "
"Cheyenne, CO",Per capita personal income (dollars),Dollars," 56,640 "
"Clear Creek, CO",Per capita personal income (dollars),Dollars," 57,914 "
"Conejos, CO",Per capita personal income (dollars),Dollars," 34,424 "
